x,z,y
7.5,7.2144191319200655,3
22.5,7.2144191319200655,3
37.5,7.2144191319200655,3
52.5,7.2144191319200655,3
67.5,7.2144191319200655,3
82.5,13.200147695394506,3
97.5,7.441519944626413,3
112.5,13.930114593379194,3
127.5,7.360412511517003,3
142.5,7.409076971382649,3
157.5,7.3928554847607675,3
172.5,7.490184404492059,3
187.5,7.376633998138885,3
202.5,7.409076971382649,3
217.5,7.441519944626413,3
232.5,7.376633998138885,3
247.5,7.327969538273239,3
262.5,7.3928554847607675,3
277.5,7.327969538273239,3
292.5,7.457741431248295,3
307.5,7.490184404492059,3
322.5,7.409076971382649,3
337.5,7.376633998138885,3
352.5,7.457741431248295,3
367.5,7.3117480516513575,3
382.5,7.327969538273239,3
397.5,10.588488349271511,3
412.5,7.24686210516383,3
427.5,7.571291837601469,3
442.5,7.506405891113941,3
457.5,7.66862075733276,3
472.5,11.513113086718782,3
487.5,7.8146141369296975,3
502.5,8.641909954645676,3
517.5,9.534091718849185,3
532.5,10.929139568331033,3
547.5,13.57324188769779,3
562.5,14.254544325816832,3
577.5,14.108550946219895,3
592.5,13.248812155260152,3
607.5,11.886207279022068,3
622.5,10.718260242246567,3
637.5,9.436762799117894,3
652.5,8.625688468023796,3
667.5,8.041714949636045,3
682.5,11.286012274012435,3
697.5,7.765949677064052,3
712.5,7.684842243954642,3
727.5,7.506405891113941,3
742.5,7.3928554847607675,3
757.5,7.409076971382649,3
772.5,7.457741431248295,3
787.5,7.490184404492059,3
802.5,7.425298458004531,3
817.5,7.3928554847607675,3
832.5,11.967314712131477,3
847.5,7.2144191319200655,3
862.5,7.2144191319200655,3
877.5,7.2144191319200655,3
892.5,7.2144191319200655,3
907.5,7.2144191319200655,3
922.5,7.2144191319200655,3
937.5,7.2144191319200655,3
952.5,7.2144191319200655,3
967.5,7.2144191319200655,3
982.5,7.2144191319200655,3
997.5,7.2144191319200655,3
1012.5,7.2144191319200655,3
1027.5,7.2144191319200655,3
1042.5,7.2144191319200655,3
1057.5,7.2144191319200655,3
1072.5,7.2144191319200655,3
1087.5,7.2144191319200655,3
1102.5,7.2144191319200655,3
1117.5,7.2144191319200655,3
